[2013-02-25 00:42:28,900] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.InfrastructureProviderRiskAssessmentServer.<init>(InfrastructureProviderRiskAssessmentServer.java:50) - IPRA: InfrastructureProviderRiskAssessmentServer Starts Up ......
[2013-02-25 00:44:00,286] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.InfrastructureProviderRiskAssessmentServer.<init>(InfrastructureProviderRiskAssessmentServer.java:50) - IPRA: InfrastructureProviderRiskAssessmentServer Starts Up ......
[2013-02-25 00:50:05,842] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.holisticriskassessment.HolisticRiskAssessment.<init>(HolisticRiskAssessment.java:32) - IPRA: HolisticRiskAssessment Starts Up ......
[2013-02-25 00:56:29,914] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.holisticriskassessment.HolisticRiskAssessment.<init>(HolisticRiskAssessment.java:32) - IPRA: HolisticRiskAssessment Starts Up ......
[2013-02-25 00:57:58,678] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.InfrastructureProviderRiskAssessmentServer.<init>(InfrastructureProviderRiskAssessmentServer.java:50) - IPRA: InfrastructureProviderRiskAssessmentServer Starts Up ......
[2013-03-01 01:20:53,139] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.holisticriskassessment.HolisticRiskAssessment.<init>(HolisticRiskAssessment.java:32) - IPRA: HolisticRiskAssessment Starts Up ......
[2013-03-14 09:49:13,700] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.configration.ConfigManager.createDefaultConfigFile(ConfigManager.java:75) - IPRA: File C:\opt\optimis\etc\optimis.properties didn't exist. Creating one with default values...
[2013-03-14 09:49:13,780] INFO    80[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.configration.ConfigManager.createDefaultConfigFile(ConfigManager.java:78) - IPRA: Creating parent directories.
[2013-03-14 09:49:13,784] INFO    84[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.configration.ConfigManager.createDefaultConfigFile(ConfigManager.java:82) - IPRA: Creating empty file.
[2013-03-14 09:49:13,786] INFO    86[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.configration.ConfigManager.createDefaultConfigFile(ConfigManager.java:86) - IPRA: Copying file optimis.properties
[2013-03-19 15:25:08,305] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:24) - in phy class
[2013-03-19 15:25:08,361] INFO    56[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:67) - about to get physical data
[2013-03-19 15:25:08,631] INFO   326[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:73) - got Mon Client
[2013-03-19 15:30:55,121] INFO     0[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:24) - in phy class
[2013-03-19 15:30:55,124] INFO     3[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:67) - about to get physical data
[2013-03-19 15:30:55,309] INFO   188[main] - eu.optimis.infrastructureproviderriskassessmenttool.core.riskassessor.physicalHost.getData(physicalHost.java:73) - got Mon Client
